Player,From,To,Years,Pos,Ht,Height,Wt,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,All Star,All NBA,All ABA,All Rookie,All Defensive,BLK Champ,STL Champ,TRB Champ,AST Champ,Scoring Champ,Most Improved,Sixth Man,DPOY,ROY,AS MVP,CF MVP,Finals MVP,MVP,Championships,NBA 75 Team,ABA All-Time Team
Jay Scrubb,2021,2022,2,G-F,6-5,6.416666666666667,220.0,22,3.8,1.4,0.4,39.0,26.7,80.0,43.9,8.0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carey Scurry,1986,1988,3,F,6-7,6.583333333333333,188.0,180,4.7,2.9,1.1,48.0,25.0,66.6,48.6,14.1,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruce Seals,1974,1978,5,F,6-8,6.666666666666667,210.0,348,8.9,4.2,1.0,42.3,20.4,67.2,42.6,11.5,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shea Seals,1998,1998,1,G,6-5,6.416666666666667,210.0,4,1.0,1.0,0.0,12.5,0.0,50.0,12.5,4.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malik Sealy,1993,2000,8,G,6-8,6.666666666666667,190.0,493,10.1,3.2,1.7,42.6,29.2,80.9,44.4,13.6,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Searcy,1976,1976,1,F,6-6,6.5,210.0,4,1.5,0.0,0.3,33.3,23.4,100.0,45.3,5.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Sears,1956,1964,9,F,6-9,6.75,198.0,529,13.9,7.8,1.6,45.5,23.4,82.6,45.3,18.5,55.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne See,1950,1950,1,G,6-3,6.25,190.0,61,5.2,1.8,2.3,37.3,27.9,69.6,44.1,10.3,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thabo Sefolosha,2007,2020,14,G-F,6-6,6.5,215.0,869,5.7,3.7,1.4,44.9,34.9,73.2,50.9,11.4,39.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rony Seikaly,1989,1999,11,C,6-11,6.916666666666667,230.0,678,14.7,9.5,1.3,48.4,18.8,67.9,48.4,15.7,37.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
